climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
8175,53.45,9.7333,SBee,93,13,285,13,80,104,263,320
8212,53.0333,11.5333,SBee,87,8,295,8,82,96,289,305
8227,53.1167,11.2,SBee,83,3,275,3,79,91,259,298
8228,53,11.1513,SBee,81,14,283,16,69,99,265,307
8233,53.1,11.05,SBee,81,4,307,4,72,86,298,332
8248,53.0833,10,SBee,85,8,291,8,76,102,276,313
8255,53.1,10.0667,SBee,89,16,299,16,58,109,264,321
8256,52.9333,10.15,SBee,82,16,268,16,58,99,159,298
8260,53.0333,9.8333,SBee,86,16,292,16,75,108,275,308
8261,53.1333,10.6,SBee,82,16,276,16,63,99,263,297
8266,52.9667,10.4667,SBee,98,8,292,8,88,119,287,301
8279,52.8,10.6333,SBee,83,16,272,16,70,99,260,288
8283,52.9167,10.7667,SBee,90,16,278,16,78,100,253,297
8284,52.9833,10.7833,SBee,79,6,268,6,73,86,266,274
8285,52.9667,10.5667,SBee,87,16,270,16,65,99,109,336
8288,53.0833,10.2833,SBee,77,15,282,14,59,87,258,312
8333,53.0667,9.3167,SBee,79,15,312,15,69,89,291,333
8340,53.0167,9.4833,SBee,72,8,300,8,50,95,283,314
8348,53.5667,9.5167,SBee,84,13,285,14,77,101,263,315
8350,53.4,9.5,SBee,93,5,279,5,85,111,253,297
8360,53.5167,9.4833,SBee,87,9,271,9,79,101,254,288
8365,53.4833,9.3333,SBee,85,12,288,12,69,108,273,303
8376,52.8833,9.3167,SBee,81,15,303,12,70,91,266,331
8380,52.9333,9.1833,SBee,87,3,290,3,77,98,265,310
8475,52.2833,8.4167,SBee,91,7,288,7,82,103,277,303
8556,52.2833,10.7,SBee,89,9,269,9,74,105,260,300
8559,52.2167,10.3667,SBee,84,12,277,12,77,99,257,300
8561,51.9,9.85,SBee,91,7,290,7,82,103,283,301
8563,51.8667,10.0167,SBee,80,16,275,15,58,98,257,300
8565,51.95,10.2167,SBee,80,15,281,15,64,98,259,315
8584,52.3667,10.9333,SBee,83,15,270,15,65,99,252,287
8585,52.2333,11.0167,SBee,81,8,302,6,70,96,284,314
8594,52.2833,10.75,SBee,89,9,261,9,78,103,254,268
8595,52.15,10.95,SBee,82,9,260,9,68,99,250,272
8598,52.4333,10.85,SBee,85,16,275,16,76,98,263,297
8606,52.1833,10.7167,SBee,79,16,269,16,59,99,256,278
8608,52.1667,10.5167,SBee,85,15,272,14,68,102,255,301
8614,52.1667,10.55,SBee,77,16,259,16,59,97,246,268
8616,53.15,8.2,SBee,93,6,294,5,86,105,276,326
8670,53.1,8.5333,SBee,79,15,311,15,67,94,275,330
8671,52.9833,8.2833,SBee,85,5,280,5,74,97,273,286
8723,51.3833,6.6,SBee,86,12,271,10,61,109,254,291
8724,51.2,6.45,SBee,87,5,257,5,73,108,250,266
8752,51.15,6.6667,SBee,76,14,258,16,61,88,252,267
8754,51.1,6.5,SBee,84,15,272,15,70,100,257,288
8765,51.3833,6.45,SBee,87,13,250,10,60,107,148,274
8767,51.2333,6.55,SBee,79,7,289,6,68,100,272,304
8772,51.7,6.1667,SBee,79,16,267,10,64,97,255,296
8776,51.7833,6.0167,SBee,83,4,276,11,78,86,247,331
8779,51.6667,6.2667,SBee,79,16,299,16,62,97,270,337
8780,51.7833,6.45,SBee,87,3,262,3,84,90,260,267
8810,51.5167,6.4,SBee,83,16,264,16,63,97,258,275
8813,51.6333,6.1833,SBee,87,10,263,13,72,100,256,277
8815,51.5833,6.25,SBee,87,10,270,11,61,117,257,291
8817,51.45,6.6333,SBee,81,16,260,16,71,95,250,272
8822,51.5833,6.5333,SBee,92,15,287,15,85,99,266,311
8824,51.65,6.6167,SBee,75,15,272,15,58,91,257,314
8836,50.9667,6.75,SBee,81,11,262,11,68,107,253,275
8841,50.7667,7.1333,SBee,78,16,265,16,64,101,257,277
8849,50.6667,6.8,SBee,73,15,263,15,60,88,257,275
8851,50.6833,6.6667,SBee,73,14,270,14,58,88,260,290
8852,50.6167,6.65,SBee,85,15,293,14,69,102,266,314
8863,50.9167,6.8167,SBee,86,16,265,16,66,100,247,287
8869,50.8167,6.95,SBee,78,11,271,11,66,97,256,284
8914,50.7632,7.2631,SBee,101,16,290,16,90,114,274,308
8932,50.8167,6.2667,SBee,78,16,267,16,62,100,251,282
8934,50.7833,6.2,SBee,79,12,273,12,71,94,259,309
8940,50.8,6.4167,SBee,83,16,264,16,66,104,253,286
8957,50.9667,6.3167,SBee,74,4,273,3,62,84,268,276
8958,50.8833,6.45,SBee,74,15,259,15,58,87,254,272
